Medications
Name,Price
"Raffles Triple Joint Max Bundle (2 Bottles, 180 Caplets each)",$197.10
Himalaya Fresh Start Oil Clear Face Wash Blueberry 100ml,$4.95
Himalaya Youthful Radiance Edelweiss & Pomegranate Sheet Mask,$3.50
Himalaya Under Eye Cream 15ml,$21.95
Himalaya Revitalizing Night Cream 50ml,$18.95
Himalaya Refreshing Cucumber Soap 75g x 4 Pack,$5
Himalaya Purifying Neem & Tea Tree Sheet Mask,$3.50
Himalaya Purifying Neem Scrub 150ml,$11.30
Himalaya Purifying Neem Foaming Face Wash 150ml,$12.95
Himalaya Purifying Neem Face Wash 100ml,$7.95
Himalaya Smooth & Silky Moisturising Conditioner 400ml,$8.95
Himalaya Repair & Regenerate Conditioner 400ml,$8.95

Services
Name,Price
Advance Medical Directive (AMD) Review,$58
Raffles Overseas Education Student Checkup (UK),$65
Raffles Basic,$74.90
Flu (Quadrivalent) Doctor’s Consultation Service and Vaccination for Adults,$80.25
COVID-19 Serology Test with Doctor’s Consultation,$85
Raffles Overseas Education Student Checkup (Japan),$86
Lasting Power of Attorney (LPA) Review,$88
Dengue Pre-vaccination Blood Test,$94.16
Raffles Overseas Education Student Checkup (Taiwan),$96
Raffles Overseas Education Student Checkup (USA),$102
Tdap Doctor’s Consultation Service and Vaccination for Adults,$104.05
